         297657109 function calls (297643119 primitive calls) in 96.408 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 mathtext.py:16(<module>)
        1    0.000    0.000    0.013    0.013 _policybase.py:4(<module>)
      714    0.013    0.000    0.013    0.000 {method 'read' of '_io.FileIO' objects}
     1409    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
    94962    0.013    0.000    0.013    0.000 value.py:325(__iter__)
       31    0.000    0.000    0.013    0.000 __init__.py:771(__init__)
       31    0.001    0.000    0.013    0.000 _collections_abc.py:824(update)
     1045    0.002    0.000    0.012    0.000 colors.py:149(to_rgba)
    14896    0.006    0.000    0.012    0.000 sre_parse.py:253(get)
     1568    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      122    0.000    0.000    0.012    0.000 __init__.py:3277(<genexpr>)
     1030    0.009    0.000    0.012    0.000 inspect.py:2732(__init__)
      320    0.001    0.000    0.012    0.000 __init__.py:2565(__init__)
      447    0.002    0.000    0.012    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.012    0.012 defmatrix.py:1(<module>)
      121    0.000    0.000    0.012    0.000 __init__.py:2776(activate)
      281    0.006    0.000    0.012    0.000 function_base.py:441(add_newdoc)
85760/84924    0.012    0.000    0.012    0.000 {built-in method builtins.len}
       82    0.001    0.000    0.012    0.000 docstring.py:113(dedent_interpd)
     3429    0.004    0.000    0.012    0.000 {built-in method builtins.any}
       75    0.000    0.000    0.012    0.000 decorators.py:412(py_random_state)
        1    0.000    0.000    0.012    0.012 pathlib.py:1(<module>)
        1    0.000    0.000    0.012    0.012 backend_agg.py:21(<module>)
        1    0.000    0.000    0.012    0.012 image.py:4(<module>)
        1    0.000    0.000    0.012    0.012 case.py:1(<module>)
      287    0.003    0.000    0.012    0.000 overrides.py:72(verify_matching_signatures)
        1    0.000    0.000    0.011    0.011 __init__.py:124(<module>)
     7224    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       19    0.001    0.000    0.011    0.001 rcsetup.py:866(validate_cycler)
        1    0.000    0.000    0.011    0.011 font_manager.py:14(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:635(<module>)
    26441    0.011    0.000    0.011    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
      826    0.003    0.000    0.011    0.000 digraph.py:381(add_node)
       11    0.000    0.000    0.011    0.001 pyparsing.py:1893(parseString)
      336    0.001    0.000    0.011    0.000 __init__.py:1325(safe_version)
     1546    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    58688    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
    41984    0.010    0.000    0.010    0.000 {built-in method _ctypes.byref}
        1    0.000    0.000    0.010    0.010 __init__.py:875(rc_params)
     3767    0.010    0.000    0.010    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.010    0.010 async_vector_env.py:1(<module>)
     3701    0.006    0.000    0.010    0.000 random.py:223(_randbelow)
        2    0.000    0.000    0.009    0.005 decorator.py:33(<module>)
      881    0.003    0.000    0.009    0.000 copy.py:66(copy)
      424    0.009    0.000    0.009    0.000 {built-in method posix.listdir}
      447    0.006    0.000    0.009    0.000 sre_compile.py:250(_optimize_charset)
12478/12384    0.007    0.000    0.009    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.009    0.009 version.py:4(<module>)
     3995    0.009    0.000    0.009    0.000 {built-in method __new__ of type object at 0x562eac8e2e00}
       36    0.001    0.000    0.009    0.000 __init__.py:1496(_add_data_doc)
        1    0.000    0.000    0.009    0.009 _parser.py:30(<module>)
        1    0.000    0.000    0.009    0.009 npyio.py:1(<module>)
    12411    0.008    0.000    0.009    0.000 enum.py:517(__new__)
      792    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      373    0.004    0.000    0.009    0.000 colors.py:185(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.009    0.009 misc.py:10(<module>)
       53    0.000    0.000    0.009    0.000 inspect.py:3063(signature)
      492    0.001    0.000    0.009    0.000 rcsetup.py:374(validate_color)
     8250    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.008    0.008 subprocess.py:42(<module>)
        1    0.000    0.000    0.008    0.008 decorators.py:1(<module>)
        1    0.000    0.000    0.008    0.008 dviread.py:18(<module>)
        2    0.000    0.000    0.008    0.004 function_base.py:1(<module>)
    16807    0.008    0.000    0.008    0.000 sre_parse.py:232(__next)
      114    0.001    0.000    0.008    0.000 deprecation.py:183(deprecate)
       53    0.000    0.000    0.008    0.000 inspect.py:2811(from_callable)
        1    0.000    0.000    0.008    0.008 __init__.py:14(<module>)
      167    0.000    0.000    0.008    0.000 rcsetup.py:68(f)
2622/1239    0.007    0.000    0.008    0.000 sre_parse.py:173(getwidth)
        1    0.000    0.000    0.008    0.008 table.py:20(<module>)
      705    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      656    0.001    0.000    0.008    0.000 version.py:74(__init__)
    11839    0.008    0.000    0.008    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.008    0.008 mathtext.py:2254(Parser)
       66    0.001    0.000    0.008    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.008    0.008 linalg.py:10(<module>)
       27    0.002    0.000    0.008    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.008    0.008 mathtext.py:2838(<lambda>)
        1    0.001    0.001    0.008    0.008 mathtext.py:2838(<listcomp>)
     1011    0.007    0.000    0.008    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.008    0.008 financial.py:12(<module>)
      220    0.002    0.000    0.008    0.000 sre_compile.py:482(_compile_info)
        1    0.000    0.000    0.008    0.008 __init__.py:41(<module>)
   260/11    0.002    0.000    0.008    0.001 pyparsing.py:1639(_parseNoCache)
